GameOddId,Sportsbook,ScoreId,Created,Updated,HomeMoneyLine,AwayMoneyLine,DrawMoneyLine,HomePointSpread,AwayPointSpread,HomePointSpreadPayout,AwayPointSpreadPayout,OverUnder,OverPayout,UnderPayout,SportsbookId,OddType,SportsbookUrl,GameId,Unlisted
7916453,DraftKings,19055,2025-09-07 20:26:05+00:00,2025-09-07 20:26:10+00:00,130,-166,,2.5,-2.5,120.0,-154.0,,,,7,live,,19055,2025-09-07T16:26:15
7916449,DraftKings,19055,2025-09-07 20:26:00+00:00,2025-09-07 20:26:00+00:00,130,-166,,2.5,-2.5,110.0,-140.0,,,,7,live,,19055,2025-09-07T16:26:05
7916404,DraftKings,19055,2025-09-07 20:25:21+00:00,2025-09-07 20:25:55+00:00,130,-166,,2.5,-2.5,-110.0,-120.0,,,,7,live,,19055,2025-09-07T16:26:00
7916390,DraftKings,19055,2025-09-07 20:25:00+00:00,2025-09-07 20:25:17+00:00,135,-175,,2.5,-2.5,-105.0,-125.0,,,,7,live,,19055,2025-09-07T16:25:21
7916382,DraftKings,19055,2025-09-07 20:24:51+00:00,2025-09-07 20:24:56+00:00,114,-145,,1.5,-1.5,-120.0,-110.0,,,,7,live,,19055,2025-09-07T16:25:00
7916356,DraftKings,19055,2025-09-07 20:24:20+00:00,2025-09-07 20:24:35+00:00,-120,-110,,-1.5,1.5,110.0,-140.0,,,,7,live,,19055,2025-09-07T16:24:41
7916349,DraftKings,19055,2025-09-07 20:24:10+00:00,2025-09-07 20:24:15+00:00,-110,-120,,1.5,-1.5,-135.0,105.0,,,,7,live,,19055,2025-09-07T16:24:20
7916341,DraftKings,19055,2025-09-07 20:24:00+00:00,2025-09-07 20:24:05+00:00,-105,-125,,1.5,-1.5,-135.0,105.0,,,,7,live,,19055,2025-09-07T16:24:10
7916328,DraftKings,19055,2025-09-07 20:23:40+00:00,2025-09-07 20:23:55+00:00,-130,100,,-1.5,1.5,100.0,-130.0,,,,7,live,,19055,2025-09-07T16:24:00
7916321,DraftKings,19055,2025-09-07 20:23:25+00:00,2025-09-07 20:23:35+00:00,-115,-115,,-1.5,1.5,110.0,-140.0,,,,7,live,,19055,2025-09-07T16:23:40
7916305,DraftKings,19055,2025-09-07 20:23:10+00:00,2025-09-07 20:23:20+00:00,105,-135,,1.5,-1.5,-125.0,-105.0,,,,7,live,,19055,2025-09-07T16:23:25
7916302,DraftKings,19055,2025-09-07 20:23:05+00:00,2025-09-07 20:23:05+00:00,110,-140,,1.5,-1.5,-120.0,-110.0,,,,7,live,,19055,2025-09-07T16:23:10
7916296,DraftKings,19055,2025-09-07 20:22:50+00:00,2025-09-07 20:23:00+00:00,130,-166,,2.5,-2.5,-105.0,-125.0,,,,7,live,,19055,2025-09-07T16:23:05
7916293,DraftKings,19055,2025-09-07 20:22:40+00:00,2025-09-07 20:22:45+00:00,124,-160,,2.5,-2.5,-115.0,-115.0,,,,7,live,,19055,2025-09-07T16:22:50
7916289,DraftKings,19055,2025-09-07 20:22:35+00:00,2025-09-07 20:22:35+00:00,110,-140,,1.5,-1.5,-125.0,-105.0,,,,7,live,,19055,2025-09-07T16:22:40
7916261,DraftKings,19055,2025-09-07 20:22:10+00:00,2025-09-07 20:22:30+00:00,-105,-125,,1.5,-1.5,-140.0,110.0,,,,7,live,,19055,2025-09-07T16:22:35
7916259,DraftKings,19055,2025-09-07 20:22:05+00:00,2025-09-07 20:22:05+00:00,110,-140,,1.5,-1.5,-125.0,-105.0,,,,7,live,,19055,2025-09-07T16:22:10
7916204,DraftKings,19055,2025-09-07 20:20:56+00:00,2025-09-07 20:21:55+00:00,110,-140,,1.5,-1.5,-125.0,-105.0,,,,7,live,,19055,2025-09-07T16:22:00
7916179,DraftKings,19055,2025-09-07 20:20:36+00:00,2025-09-07 20:20:41+00:00,114,-145,,1.5,-1.5,-115.0,-115.0,,,,7,live,,19055,2025-09-07T16:20:46
7916158,DraftKings,19055,2025-09-07 20:20:11+00:00,2025-09-07 20:20:31+00:00,110,-140,,1.5,-1.5,-120.0,-110.0,,,,7,live,,19055,2025-09-07T16:20:36
7916145,DraftKings,19055,2025-09-07 20:19:56+00:00,2025-09-07 20:20:06+00:00,140,-180,,2.5,-2.5,105.0,-135.0,,,,7,live,,19055,2025-09-07T16:20:11
7916140,DraftKings,19055,2025-09-07 20:19:51+00:00,2025-09-07 20:19:51+00:00,110,-140,,1.5,-1.5,-120.0,-110.0,,,,7,live,,19055,2025-09-07T16:19:56
7916130,DraftKings,19055,2025-09-07 20:19:36+00:00,2025-09-07 20:19:46+00:00,160,-210,,2.5,-2.5,114.0,-145.0,,,,7,live,,19055,2025-09-07T16:19:51
7916128,DraftKings,19055,2025-09-07 20:19:26+00:00,2025-09-07 20:19:26+00:00,200,-270,,2.5,-2.5,150.0,-195.0,,,,7,live,,19055,2025-09-07T16:19:31
7916123,DraftKings,19055,2025-09-07 20:19:16+00:00,2025-09-07 20:19:21+00:00,185,-245,,2.5,-2.5,135.0,-175.0,,,,7,live,,19055,2025-09-07T16:19:26
7916108,DraftKings,19055,2025-09-07 20:18:50+00:00,2025-09-07 20:19:10+00:00,145,-188,,2.5,-2.5,110.0,-140.0,,,,7,live,,19055,2025-09-07T16:19:16
7916103,DraftKings,19055,2025-09-07 20:18:40+00:00,2025-09-07 20:18:40+00:00,350,-520,,2.5,-2.5,270.0,-375.0,,,,7,live,,19055,2025-09-07T16:18:45
7916093,DraftKings,19055,2025-09-07 20:18:20+00:00,2025-09-07 20:18:36+00:00,310,-445,,2.5,-2.5,250.0,-345.0,,,,7,live,,19055,2025-09-07T16:18:40
7916083,DraftKings,19055,2025-09-07 20:18:00+00:00,2025-09-07 20:18:15+00:00,325,-475,,2.5,-2.5,250.0,-345.0,,,,7,live,,19055,2025-09-07T16:18:20
7916077,DraftKings,19055,2025-09-07 20:17:50+00:00,2025-09-07 20:17:55+00:00,360,-540,,2.5,-2.5,280.0,-395.0,,,,7,live,,19055,2025-09-07T16:18:00
7916075,DraftKings,19055,2025-09-07 20:17:45+00:00,2025-09-07 20:17:45+00:00,340,-500,,2.5,-2.5,260.0,-360.0,,,,7,live,,19055,2025-09-07T16:17:50
7916074,DraftKings,19055,2025-09-07 20:17:35+00:00,2025-09-07 20:17:35+00:00,500,-810,,2.5,-2.5,380.0,-580.0,,,,7,live,,19055,2025-09-07T16:17:40
7916056,DraftKings,19055,2025-09-07 20:16:55+00:00,2025-09-07 20:17:30+00:00,400,-620,,2.5,-2.5,310.0,-445.0,,,,7,live,,19055,2025-09-07T16:17:35
7916050,DraftKings,19055,2025-09-07 20:16:50+00:00,2025-09-07 20:16:50+00:00,380,-580,,2.5,-2.5,300.0,-425.0,,,,7,live,,19055,2025-09-07T16:16:55
7916048,DraftKings,19055,2025-09-07 20:16:40+00:00,2025-09-07 20:16:45+00:00,290,-410,,2.5,-2.5,220.0,-298.0,,,,7,live,,19055,2025-09-07T16:16:50
7916047,DraftKings,19055,2025-09-07 20:16:30+00:00,2025-09-07 20:16:35+00:00,230,-315,,2.5,-2.5,175.0,-230.0,,,,7,live,,19055,2025-09-07T16:16:40
7916020,DraftKings,19055,2025-09-07 20:15:40+00:00,2025-09-07 20:16:25+00:00,230,-315,,2.5,-2.5,180.0,-238.0,43.5,100.0,-130.0,7,live,,19055,2025-09-07T16:16:30
7916010,DraftKings,19055,2025-09-07 20:15:25+00:00,2025-09-07 20:15:35+00:00,325,-475,,2.5,-2.5,250.0,-345.0,43.5,120.0,-154.0,7,live,,19055,2025-09-07T16:15:40
7916003,DraftKings,19055,2025-09-07 20:15:20+00:00,2025-09-07 20:15:20+00:00,360,-540,,2.5,-2.5,270.0,-375.0,43.5,130.0,-166.0,7,live,,19055,2025-09-07T16:15:25
7915993,DraftKings,19055,2025-09-07 20:15:06+00:00,2025-09-07 20:15:06+00:00,380,-580,,2.5,-2.5,280.0,-395.0,43.5,135.0,-175.0,7,live,,19055,2025-09-07T16:15:11
7915984,DraftKings,19055,2025-09-07 20:14:50+00:00,2025-09-07 20:15:00+00:00,520,-850,,3.5,-3.5,340.0,-500.0,44.5,380.0,-580.0,7,live,,19055,2025-09-07T16:15:06
7915976,DraftKings,19055,2025-09-07 20:14:40+00:00,2025-09-07 20:14:45+00:00,575,-950,,3.5,-3.5,370.0,-560.0,44.5,450.0,-720.0,7,live,,19055,2025-09-07T16:14:50
7915968,DraftKings,19055,2025-09-07 20:14:25+00:00,2025-09-07 20:14:35+00:00,600,-1050,,3.5,-3.5,370.0,-560.0,44.5,450.0,-720.0,7,live,,19055,2025-09-07T16:14:40
7915935,DraftKings,19055,2025-09-07 20:13:45+00:00,2025-09-07 20:14:10+00:00,145,-188,,3.5,-3.5,-135.0,105.0,44.5,154.0,-200.0,7,live,,19055,2025-09-07T16:14:15
7915922,DraftKings,19055,2025-09-07 20:13:30+00:00,2025-09-07 20:13:40+00:00,130,-166,,2.5,-2.5,105.0,-135.0,44.5,154.0,-200.0,7,live,,19055,2025-09-07T16:13:45
7915910,DraftKings,19055,2025-09-07 20:13:20+00:00,2025-09-07 20:13:25+00:00,124,-160,,2.5,-2.5,-105.0,-125.0,44.5,154.0,-200.0,7,live,,19055,2025-09-07T16:13:30
7915906,DraftKings,19055,2025-09-07 20:13:05+00:00,2025-09-07 20:13:15+00:00,114,-145,,2.5,-2.5,-110.0,-120.0,44.5,154.0,-200.0,7,live,,19055,2025-09-07T16:13:20
7915900,DraftKings,19055,2025-09-07 20:12:50+00:00,2025-09-07 20:12:55+00:00,-130,100,,-1.5,1.5,-105.0,-125.0,43.5,-110.0,-120.0,7,live,,19055,2025-09-07T16:13:00
7915890,DraftKings,19055,2025-09-07 20:12:30+00:00,2025-09-07 20:12:45+00:00,-110,-120,,1.5,-1.5,-130.0,100.0,43.5,-130.0,100.0,7,live,,19055,2025-09-07T16:12:50
7915873,DraftKings,19055,2025-09-07 20:11:55+00:00,2025-09-07 20:12:25+00:00,-210,160,,-2.5,2.5,-175.0,135.0,42.5,-105.0,-125.0,7,live,,19055,2025-09-07T16:12:30
7915862,DraftKings,19055,2025-09-07 20:11:40+00:00,2025-09-07 20:11:50+00:00,-210,160,,-2.5,2.5,-180.0,140.0,42.5,-105.0,-125.0,7,live,,19055,2025-09-07T16:11:55
7915857,DraftKings,19055,2025-09-07 20:11:35+00:00,2025-09-07 20:11:35+00:00,-154,120,,-2.5,2.5,-135.0,105.0,43.5,110.0,-140.0,7,live,,19055,2025-09-07T16:11:40
7915843,DraftKings,19055,2025-09-07 20:11:15+00:00,2025-09-07 20:11:30+00:00,-154,120,,-2.5,2.5,-135.0,105.0,43.5,105.0,-135.0,7,live,,19055,2025-09-07T16:11:35
7915840,DraftKings,19055,2025-09-07 20:10:45+00:00,2025-09-07 20:11:11+00:00,-130,100,,-1.5,1.5,-120.0,-110.0,43.5,-130.0,100.0,7,live,,19055,2025-09-07T16:11:15
7915804,DraftKings,19055,2025-09-07 20:09:50+00:00,2025-09-07 20:10:40+00:00,-135,105,,-2.5,2.5,-125.0,-105.0,43.5,-125.0,-105.0,7,live,,19055,2025-09-07T16:10:45
7915801,DraftKings,19055,2025-09-07 20:09:45+00:00,2025-09-07 20:09:45+00:00,-135,105,,-2.5,2.5,-130.0,100.0,43.5,-125.0,-105.0,7,live,,19055,2025-09-07T16:09:50
7915797,DraftKings,19055,2025-09-07 20:09:35+00:00,2025-09-07 20:09:40+00:00,-140,110,,-2.5,2.5,-130.0,100.0,43.5,-120.0,-110.0,7,live,,19055,2025-09-07T16:09:45
7915790,DraftKings,19055,2025-09-07 20:09:30+00:00,2025-09-07 20:09:30+00:00,-140,110,,-2.5,2.5,-135.0,105.0,43.5,-120.0,-110.0,7,live,,19055,2025-09-07T16:09:35
7915755,DraftKings,19055,2025-09-07 20:08:45+00:00,2025-09-07 20:09:25+00:00,-140,110,,-2.5,2.5,-140.0,110.0,43.5,-120.0,-110.0,7,live,,19055,2025-09-07T16:09:30
7915746,DraftKings,19055,2025-09-07 20:08:35+00:00,2025-09-07 20:08:40+00:00,-140,110,,-2.5,2.5,-140.0,110.0,43.5,-110.0,-120.0,7,live,,19055,2025-09-07T16:08:45
7915742,DraftKings,19055,2025-09-07 20:08:30+00:00,2025-09-07 20:08:30+00:00,-140,110,,-2.5,2.5,-140.0,110.0,43.5,-120.0,-110.0,7,live,,19055,2025-09-07T16:08:35
7915737,DraftKings,19055,2025-09-07 20:08:25+00:00,2025-09-07 20:08:25+00:00,-140,110,,-2.5,2.5,-140.0,110.0,43.5,-110.0,-120.0,7,live,,19055,2025-09-07T16:08:30
7915720,DraftKings,19055,2025-09-07 20:08:10+00:00,2025-09-07 20:08:20+00:00,-140,110,,-2.5,2.5,-140.0,110.0,43.5,-120.0,-110.0,7,live,,19055,2025-09-07T16:08:25
7915716,DraftKings,19055,2025-09-07 20:08:05+00:00,2025-09-07 20:08:05+00:00,-140,110,,-2.5,2.5,-140.0,110.0,43.5,-125.0,-105.0,7,live,,19055,2025-09-07T16:08:10
7915700,DraftKings,19055,2025-09-07 20:07:55+00:00,2025-09-07 20:08:00+00:00,-166,130,,-2.5,2.5,-166.0,130.0,43.5,-105.0,-125.0,7,live,,19055,2025-09-07T16:08:05
7915690,DraftKings,19055,2025-09-07 20:07:45+00:00,2025-09-07 20:07:50+00:00,-166,130,,-2.5,2.5,-175.0,135.0,43.5,-105.0,-125.0,7,live,,19055,2025-09-07T16:07:55
7915688,DraftKings,19055,2025-09-07 20:07:40+00:00,2025-09-07 20:07:40+00:00,-175,135,,-2.5,2.5,-166.0,130.0,43.5,-105.0,-125.0,7,live,,19055,2025-09-07T16:07:45
7915684,DraftKings,19055,2025-09-07 20:07:35+00:00,2025-09-07 20:07:35+00:00,-175,135,,-2.5,2.5,-166.0,130.0,43.5,100.0,-130.0,7,live,,19055,2025-09-07T16:07:40
7915663,DraftKings,19055,2025-09-07 20:07:15+00:00,2025-09-07 20:07:25+00:00,-220,170,,-2.5,2.5,-210.0,160.0,42.5,-145.0,114.0,7,live,,19055,2025-09-07T16:07:30
7915648,DraftKings,19055,2025-09-07 20:07:00+00:00,2025-09-07 20:07:05+00:00,-210,160,,-2.5,2.5,-200.0,154.0,42.5,-145.0,114.0,7,live,,19055,2025-09-07T16:07:10
7915644,DraftKings,19055,2025-09-07 20:06:55+00:00,2025-09-07 20:06:55+00:00,-210,160,,-2.5,2.5,-188.0,145.0,42.5,-145.0,114.0,7,live,,19055,2025-09-07T16:07:00
7915594,DraftKings,19055,2025-09-07 20:06:10+00:00,2025-09-07 20:06:50+00:00,-210,160,,-2.5,2.5,-175.0,135.0,42.5,-145.0,114.0,7,live,,19055,2025-09-07T16:06:55
7915576,DraftKings,19055,2025-09-07 20:05:48+00:00,2025-09-07 20:06:06+00:00,-210,160,,-2.5,2.5,-175.0,135.0,43.5,114.0,-145.0,7,live,,19055,2025-09-07T16:06:10
7915566,DraftKings,19055,2025-09-07 20:05:38+00:00,2025-09-07 20:05:43+00:00,-188,145,,-2.5,2.5,-160.0,124.0,43.5,105.0,-135.0,7,live,,19055,2025-09-07T16:05:48
7915545,DraftKings,19055,2025-09-07 20:05:18+00:00,2025-09-07 20:05:33+00:00,-215,165,,-2.5,2.5,-175.0,135.0,43.5,114.0,-145.0,7,live,,19055,2025-09-07T16:05:38
7915537,DraftKings,19055,2025-09-07 20:05:03+00:00,2025-09-07 20:05:03+00:00,-230,175,,-2.5,2.5,-195.0,150.0,42.5,-140.0,110.0,7,live,,19055,2025-09-07T16:05:08
7915535,DraftKings,19055,2025-09-07 20:04:58+00:00,2025-09-07 20:04:58+00:00,-230,175,,-2.5,2.5,-188.0,145.0,42.5,-140.0,110.0,7,live,,19055,2025-09-07T16:05:03
